NC_000913.3,phiX174,sample_id
1362395,3,D11_15_B_CKDL220033467-1A_HMLGCDSX5_L2
1890565,6,C6_15_A_CKDL220033466-1A_HMLGCDSX5_L2
2108949,153,C3_15_A_CKDL220033466-1A_HMLGCDSX5_L2
1818388,2,B8_0_B_CKDL220033467-1A_HMLGCDSX5_L2
2217310,2,C11_15_A_CKDL220033467-1A_HMLGCDSX5_L2
1913038,5,A8_0_A_CKDL220033467-1A_HMLGCDSX5_L2
2119954,4,D10_15_B_CKDL220033467-1A_HMLGCDSX5_L2
1846476,0,C9_15_A_CKDL220033467-1A_HMLGCDSX5_L2
2179177,3,C12_15_A_CKDL220033467-1A_HMLGCDSX5_L2
2097388,20,A6_0_A_CKDL220033466-1A_HMLGCDSX5_L2
1985859,53,D3_15_B_CKDL220033466-1A_HMLGCDSX5_L2
1303630,27,D7_15_B_CKDL220033466-1A_HMLGCDSX5_L2
2032238,3,B7_0_B_CKDL220033466-1A_HMLGCDSX5_L2
2137376,53,B3_0_B_CKDL220033466-1A_HMLGCDSX5_L2
2296767,2,B9_0_B_CKDL220033467-1A_HMLGCDSX5_L2
1916940,5,B6_0_B_CKDL220033466-1A_HMLGCDSX5_L2
2340627,1,A12_0_A_CKDL220033467-1A_HMLGCDSX5_L2
2125823,42,D5_15_B_CKDL220033466-1A_HMLGCDSX5_L2
1352425,109,D1_15_B_CKDL220033466-1A_HMLGCDSX5_L2
2117901,1,E9_30_A_CKDL220033467-1A_HMLGCDSX5_L2
2371745,24,A5_0_A_CKDL220033466-1A_HMLGCDSX5_L2
2204417,2,A11_0_A_CKDL220033467-1A_HMLGCDSX5_L2
1931794,0,B11_0_B_CKDL220033467-1A_HMLGCDSX5_L2
1619510,269,C1_15_A_CKDL220033466-1A_HMLGCDSX5_L2
1998197,1,A7_0_A_CKDL220033466-1A_HMLGCDSX5_L2
1848408,397,E1_30_A_CKDL220033466-1A_HMLGCDSX5_L2
1794836,285,F1_30_B_CKDL220033466-1A_HMLGCDSX5_L2
2514460,1,B12_0_B_CKDL220033467-1A_HMLGCDSX5_L2
2197057,3,F11_30_B_CKDL220033467-1A_HMLGCDSX5_L2
1751630,2,G11_45_A_CKDL220033467-1A_HMLGCDSX5_L2
2011472,143,A1_0_A_CKDL220033466-1A_HMLGCDSX5_L2
3571214,4,C8_15_A_CKDL220033467-1A_HMLGCDSX5_L2
446,0,D8_15_B_CKDL220033467-1A_HMLGCDSX5_L2
2461912,2,B10_0_B_CKDL220033467-1A_HMLGCDSX5_L2
1846829,3,E6_30_A_CKDL220033466-1A_HMLGCDSX5_L2
1782835,6,D9_15_B_CKDL220033467-1A_HMLGCDSX5_L2
1947467,2,G10_45_A_CKDL220033467-1A_HMLGCDSX5_L2
2474663,83,F5_30_B_CKDL220033466-1A_HMLGCDSX5_L2
1810806,1,C7_15_A_CKDL220033466-1A_HMLGCDSX5_L2
1958690,2,F7_30_B_CKDL220033466-1A_HMLGCDSX5_L2
1913297,81,E3_30_A_CKDL220033466-1A_HMLGCDSX5_L2
2158656,5,F12_30_B_CKDL220033467-1A_HMLGCDSX5_L2
1838059,1,E7_30_A_CKDL220033466-1A_HMLGCDSX5_L2
2307973,8,F9_30_B_CKDL220033467-1A_HMLGCDSX5_L2
2150641,3,G12_45_A_CKDL220033467-1A_HMLGCDSX5_L2
2073769,61,B5_0_B_CKDL220033466-1A_HMLGCDSX5_L2
1883336,5,E8_30_A_CKDL220033467-1A_HMLGCDSX5_L2
2882791,3,D12_15_B_CKDL220033467-1A_HMLGCDSX5_L2
1946451,0,C10_15_A_CKDL220033467-1A_HMLGCDSX5_L2
2093860,1,A9_0_A_CKDL220033467-1A_HMLGCDSX5_L2
1995135,25,A3_0_A_CKDL220033466-1A_HMLGCDSX5_L2
1681238,13,F6_30_B_CKDL220033466-1A_HMLGCDSX5_L2
2335210,48,C5_15_A_CKDL220033466-1A_HMLGCDSX5_L2
1556874,14,G6_45_A_CKDL220033466-1A_HMLGCDSX5_L2
2519583,2,E12_30_A_CKDL220033467-1A_HMLGCDSX5_L2
1673771,6,E10_30_A_CKDL220033467-1A_HMLGCDSX5_L2
2172562,5,F10_30_B_CKDL220033467-1A_HMLGCDSX5_L2
1655664,7,H8_45_B_CKDL220033467-1A_HMLGCDSX5_L2
2346438,333,G3_45_A_CKDL220033466-1A_HMLGCDSX5_L2
1584668,16,H6_45_B_CKDL220033466-1A_HMLGCDSX5_L2
2142512,46,H5_45_B_CKDL220033466-1A_HMLGCDSX5_L2
1699566,4,G9_45_A_CKDL220033467-1A_HMLGCDSX5_L2
1462069,4,H12_45_B_CKDL220033467-1A_HMLGCDSX5_L2
1737253,5,G7_45_A_CKDL220033466-1A_HMLGCDSX5_L2
1817600,7,H10_45_B_CKDL220033467-1A_HMLGCDSX5_L2
1808819,4,F8_30_B_CKDL220033467-1A_HMLGCDSX5_L2
2101693,3,A10_0_A_CKDL220033467-1A_HMLGCDSX5_L2
2055567,147,G5_45_A_CKDL220033466-1A_HMLGCDSX5_L2
1879574,199,H3_45_B_CKDL220033466-1A_HMLGCDSX5_L2
1375968,0,H11_45_B_CKDL220033467-1A_HMLGCDSX5_L2
1909122,327,G1_45_A_CKDL220033466-1A_HMLGCDSX5_L2
1803791,366,H1_45_B_CKDL220033466-1A_HMLGCDSX5_L2
2153284,73,E5_30_A_CKDL220033466-1A_HMLGCDSX5_L2
2221531,8,H9_45_B_CKDL220033467-1A_HMLGCDSX5_L2
1622705,15,H7_45_B_CKDL220033466-1A_HMLGCDSX5_L2
2126163,162,F3_30_B_CKDL220033466-1A_HMLGCDSX5_L2
2082450,1,E11_30_A_CKDL220033467-1A_HMLGCDSX5_L2
2137367,30,D6_15_B_CKDL220033466-1A_HMLGCDSX5_L2
1814164,9,G8_45_A_CKDL220033467-1A_HMLGCDSX5_L2
2183850,250,B1_0_B_CKDL220033466-1A_HMLGCDSX5_L2
